BK	NBR	ANS	QUESTION	CHOICE  A	CHOICE  B	CHOICE  C	CHOICE  D	ILLUSTRATION
1	3683	D	BOTH INTERNATIONAL & INLAND The rules require that a stand-on vessel SHALL take action to avoid collision when she  determines that __________.	risk of collision exists	the other vessel will cross ahead of her	the other vessel is not taking appropriate action	collision cannot be avoided by the give-way vessel's maneuver alone	
1	4000	B	BOTH INTERNATIONAL & INLAND Your vessel is 75 meters in length and restricted in her ability to maneuver. Visibility is restricted.  What signal do you sound if you  are carrying out your work at anchor?	Five seconds ringing of a bell at intervals of not more than one minute	One prolonged blast followed by two short blasts on the whistle at intervals of not more than two minutes	Five seconds ringing of a bell and five second sounding of a gong at intervals of not more than one minute	Four short blasts on the whistle at intervals of not more than two minutes	
1	4001	C	"BOTH INTERNATIONAL & INLAND  The maximum length of a power-driven vessel which may show an all-round white light and sidelights instead of a masthead light, sidelights and a stern light is __________."	6.9 meters	9.9 meters	11.9 meters	19.9 meters	
1	4002	C	"BOTH INTERNATIONAL & INLAND While underway in fog, you hear a prolonged blast from another vessel.  This signal indicates a __________."	sailboat underway	"vessel underway, towing"	"power-driven vessel underway, making way"	vessel being towed	
1	4003	D	BOTH INTERNATIONAL & INLAND What is used to show the presence of a partly submerged object being towed?	A diamond shape on the towed object	An all-round light at each end of the towed object	A searchlight from the towing vessel in the direction of the tow	All of the above	
1	4004	C	"BOTH INTERNATIONAL & INLAND At night, a barge being towed astern must display __________."	red and green sidelights only	a white stern light only	sidelights and a stern light	one all-round white light	
1	4005	B	BOTH INTERNATIONAL & INLAND Which signal is recognized as a distress signal?	Directing the beam of a searchlight at another vessel	A smoke signal giving off orange colored smoke	A whistle signal of one prolonged and three short blasts	"International Code Signal ""PAN"" spoken over the radiotelephone"	
1	4006	C	BOTH INTERNATIONAL & INLAND Your vessel is approaching a bend.  You hear a prolonged blast from around the bend.  You should __________.	back your engines	stop your engines and drift	answer with one prolonged blast	sound the danger signal	
1	4007	C	BOTH INTERNATIONAL & INLAND If you do NOT understand the course or intention of an approaching vessel you should sound __________.	one short blast	one prolonged blast	not less than five short blasts	not less than five prolonged blasts	
1	4008	D	"BOTH INTERNATIONAL & INLAND If you are the stand-on vessel  in a crossing situation, you may take action to avoid collision by your maneuver alone.  When may this action be  taken?"	At any time you feel it is appropriate	Only when you have reached extremis	When you determine that your present course will cross ahead of the other vessel	When it becomes apparent to you that the give-way vessel is not taking appropriate action	
1	4009	C	BOTH INTERNATIONAL & INLAND Your 15-meter tug is underway and crossing a deep and narrow channel.  A large container  vessel is off your port bow on a steady bearing.  Which statement is TRUE concerning this situation?	You should maintain course and speed.	The container vessel is the stand-on as it is the larger vessel.	You are not to impede the safe passage of the container vessel in the channel.	None of the above	
1	4010	C	"BOTH INTERNATIONAL & INLAND If your vessel is underway in fog and you hear one prolonged and three short blasts, this is a __________."	vessel not under command	sailing vessel	vessel being towed (manned)	vessel being towed (unmanned)	
1	4011	C	BOTH INTERNATIONAL & INLAND A pilot vessel on pilotage duty at night will show sidelights and a stern light __________.	when at anchor	only when making way	at any time when underway	only when the identifying lights are not being shown	
1	4012	A	BOTH INTERNATIONAL & INLAND A vessel which displays the day signal shown may be engaged in __________.	submarine cable laying	pilotage duty	fishing	mineclearance	DIAGRAM_6
1	4013	D	BOTH INTERNATIONAL & INLAND A vessel displaying the day-shapes shown is __________.	towing	conducting underwater operations	drifting	aground	DIAGRAM_11
1	4014	B	BOTH INTERNATIONAL & INLAND A power-driven vessel underway  in fog making NO way must sound what signal?	One long blast	Two prolonged blasts	One prolonged blast	One prolonged and two short blasts	
1	4015	D	BOTH INTERNATIONAL & INLAND A 95-meter vessel aground sounds which fog signal?	A rapid ringing of a bell for 5 seconds every two minutes	"A whistle signal of one short, one prolonged, and one short blast"	A prolonged blast of the whistle at intervals not to exceed one minute	"A rapid ringing of a bell for 5 seconds, preceded and followed by three separate and distinct strokes on the bell"	
1	4016	A	BOTH INTERNATIONAL & INLAND Which statement is TRUE concerning a vessel equipped with operational radar?	She must use this equipment to obtain early warning of risk of collision.	The radar equipment is only required to be used in  restricted visibility.	The use of a radar excuses a vessel from the need of a look-out.	The safe speed of such a vessel will likely be greater than that of vessels without radar.	
1	4017	C	BOTH INTERNATIONAL & INLAND A 200-meter vessel is aground in fog.  Which signal is optional?	A bell signal	A gong signal	A whistle signal	All of the above	
1	4018	D	BOTH INTERNATIONAL & INLAND  Which is a distress signal?	A triangular flag above or below a ball	"The International Code Signal of distress indicated by ""JV"""	A green smoke signal	Flames on the vessel as from a burning tar barrel	
1	4020	D	BOTH INTERNATIONAL & INLAND A vessel must proceed at a safe speed __________.	in restricted visibility	in congested waters	during darkness	at all times	
1	4021	D	BOTH INTERNATIONAL & INLAND A light signal of three flashes means __________.	"""I am in doubt as to your actions"""	"""My engines are full speed astern"""	"""I desire to overtake you"""	"""I am operating astern propulsion"""	
1	4022	A	BOTH INTERNATIONAL & INLAND A sailing vessel underway may exhibit __________.	a red light over a green light at the masthead	a green light over a red light at the masthead	two white lights in a vertical line at the stern	an all-round white light at the bow	
1	4023	C	BOTH INTERNATIONAL & INLAND A sailing vessel is overtaking a tug and tow as shown.  Which statement is CORRECT?	The sailing vessel is the stand-on vessel because it is overtaking.	The sailing vessel is the stand-on vessel because it is under sail.	The tug is the stand-on vessel because it is being  overtaken.	The tug is the stand-on vessel because it is towing.	DIAGRAM_43
1	4024	D	"BOTH INTERNATIONAL & INLAND The word ""vessel"", in the Rules, includes __________."	sailing ships	nondisplacement craft	seaplanes	All of the above	
1	4025	C	BOTH INTERNATIONAL & INLAND A sailing vessel with the wind  abaft the beam is navigating in fog.  She should sound __________.	three short blasts	one prolonged blast	one prolonged and two short blasts	two prolonged blasts	
1	4026	D	BOTH INTERNATIONAL & INLAND Which is a distress signal?	Firing of green star shells	Sounding 5 short blasts on the whistle	Answering a one blast whistle signal with two blasts	A flaming barrel of oil on deck	
1	4028	D	"BOTH INTERNATIONAL & INLAND If two sailing vessels are running free with the wind on the same side, which one must keep clear of the other?"	The one with the wind closest abeam	The one with the wind closest astern	The one to leeward	The one to windward	
1	4029	B	INLAND ONLY  The masthead light may be located at other than the fore and aft centerline on a power-driven vessel __________.	less than 20 meters in length	less than 12 meters in length	which has separate sidelights carried on the outboard extremes of the vessel's breadth	engaged in fishing	
1	4030	B	"BOTH INTERNATIONAL & INLAND The NAVIGATION RULES define a ""vessel not under command"" as a vessel which __________."	from the nature of her work is unable to keep out of the way of another vessel	through some exceptional circumstance is unable to maneuver as required by the rules	by taking action contrary to the rules has created a special circumstance situation	"is moored, aground or anchored in a fairway"	
1	4031	A	BOTH INTERNATIONAL & INLAND Additional light signals are provided in the Annexes to the Rules for vessels __________.	engaged in fishing	not under command	engaged in towing	under sail	
1	4032	A	BOTH INTERNATIONAL & INLAND Which vessel may combine her sidelights and stern light in one lantern on the fore and aft centerline of the vessel?	A 16-meter sailing vessel	A 25-meter power-driven vessel	A 28-meter sailing vessel	Any non-self-propelled vessel	
1	4033	B	BOTH INTERNATIONAL & INLAND The duration of a prolonged blast of the whistle is __________.	2 to 4 seconds	4 to 6 seconds	6 to 8 seconds	8 to 10 seconds	
1	4034	A	"BOTH INTERNATIONAL & INLAND A vessel ""restricted in her ability to maneuver"" is one which __________."	from the nature of her work is unable to maneuver as required by the rules	through some exceptional circumstance is unable to maneuver as required by the rules	due to adverse weather conditions is unable to maneuver as  required by the rules	has lost steering and is unable to maneuver	
1	4035	D	"BOTH INTERNATIONAL & INLAND When underway in restricted visibility, you might hear, at intervals of two minutes, any of the following fog signals EXCEPT __________."	one prolonged blast	two prolonged blasts	one prolonged and two short blasts	ringing of a bell for five seconds	
1	4036	A	BOTH INTERNATIONAL & INLAND You are preparing to cross a narrow channel.  You see a vessel that can only be navigated safely within the channel.  You should __________.	not cross the channel if you might impede the other vessel	initiate an exchange of passing signals	sound the danger signal	hold your course and speed	
1	4038	B	BOTH INTERNATIONAL & INLAND A bell is used to sound a fog signal for a __________.	power-driven vessel underway	sailing vessel at anchor	vessel engaged in fishing	vessel not under command	
1	4039	B	"BOTH INTERNATIONAL & INLAND You see another vessel  approaching, and its compass bearing does not significantly change. This would indicate that __________."	you are the stand-on vessel	risk of collision exists	a special circumstances situation exists	the other vessel is dead in the water	
1	4040	B	BOTH INTERNATIONAL & INLAND Which of the day-shapes shown indicates a vessel with a tow exceeding 200 meters in length?	A	B	C	D	DIAGRAM_16
